comparison,outcome,outcome_label,variable,variable_label,variable_type,raw_gap,endowment_contribution,endowment_ci_lower,endowment_ci_upper,pct_of_gap,mean_white,mean_minority,n_white,n_minority,total_pct_explained,level
Hispanic_vs_White,obesity,Obesity,lacktrpt,Transportation barriers,hrsn,1.1056,-9.2598,-9.8849,-8.6843,-837.52,7.3207,15.2636,38240,5201,130.79,ecological
Hispanic_vs_White,obesity,Obesity,emotionspt,Lack of social support,hrsn,1.1056,-4.4125,-4.5991,-4.2138,-399.09,22.1557,31.7518,38240,5201,130.79,ecological
Hispanic_vs_White,obesity,Obesity,pct_poverty,pct_poverty,demographic,1.1056,-0.0541,-0.1067,0.0012,-4.9,10.689,19.1501,38240,5201,130.79,ecological
Hispanic_vs_White,obesity,Obesity,pct_college,pct_college,demographic,1.1056,4.1709,4.0883,4.247,377.24,36.3351,16.2687,38240,5201,130.79,ecological
Hispanic_vs_White,obesity,Obesity,pct_65plus,pct_65plus,demographic,1.1056,0.5928,0.5406,0.6504,53.61,19.0889,11.2889,38240,5201,130.79,ecological
Hispanic_vs_White,obesity,Obesity,median_age,median_age,demographic,1.1056,0.3767,0.3047,0.4438,34.08,41.9359,33.7491,38240,5201,130.79,ecological
Hispanic_vs_White,chd,Coronary heart disease,loneliness,Loneliness/Social isolation,hrsn,-0.7094,-0.3031,-0.327,-0.2777,42.73,32.3089,39.5593,38240,5201,96.82,ecological
Hispanic_vs_White,chd,Coronary heart disease,foodstamp,Food stamps/SNAP,hrsn,-0.7094,2.159,2.0816,2.239,-304.35,10.5907,27.3053,38240,5201,96.82,ecological
Hispanic_vs_White,chd,Coronary heart disease,foodinsecu,Food insecurity,hrsn,-0.7094,6.7759,6.5943,6.9968,-955.2,12.9185,31.9295,38240,5201,96.82,ecological
Hispanic_vs_White,chd,Coronary heart disease,housinsecu,Housing insecurity,hrsn,-0.7094,-6.7262,-6.9117,-6.5176,948.19,10.4715,25.3416,38240,5201,96.82,ecological
Hispanic_vs_White,chd,Coronary heart disease,shututility,Utility shutoff threat,hrsn,-0.7094,1.7942,1.7242,1.8712,-252.93,6.995,13.3884,38240,5201,96.82,ecological
Hispanic_vs_White,chd,Coronary heart disease,lacktrpt,Transportation barriers,hrsn,-0.7094,-4.1867,-4.3943,-3.9759,590.2,7.3207,15.2636,38240,5201,96.82,ecological
Hispanic_vs_White,chd,Coronary heart disease,emotionspt,Lack of social support,hrsn,-0.7094,-0.267,-0.3124,-0.2255,37.64,22.1557,31.7518,38240,5201,96.82,ecological
Hispanic_vs_White,chd,Coronary heart disease,pct_poverty,pct_poverty,demographic,-0.7094,0.118,0.1009,0.1359,-16.63,10.689,19.1501,38240,5201,96.82,ecological
Hispanic_vs_White,chd,Coronary heart disease,pct_college,pct_college,demographic,-0.7094,0.8342,0.8177,0.8492,-117.6,36.3351,16.2687,38240,5201,96.82,ecological
Hispanic_vs_White,chd,Coronary heart disease,pct_65plus,pct_65plus,demographic,-0.7094,-0.6731,-0.6918,-0.6538,94.88,19.0889,11.2889,38240,5201,96.82,ecological
Hispanic_vs_White,chd,Coronary heart disease,median_age,median_age,demographic,-0.7094,-0.212,-0.2301,-0.195,29.89,41.9359,33.7491,38240,5201,96.82,ecological
Hispanic_vs_White,copd,COPD,loneliness,Loneliness/Social isolation,hrsn,-1.0217,0.2005,0.1726,0.2319,-19.62,32.3089,39.5593,38240,5201,22.81,ecological
Hispanic_vs_White,copd,COPD,foodstamp,Food stamps/SNAP,hrsn,-1.0217,3.0038,2.9112,3.1105,-294.01,10.5907,27.3053,38240,5201,22.81,ecological
Hispanic_vs_White,copd,COPD,foodinsecu,Food insecurity,hrsn,-1.0217,8.392,8.1494,8.6674,-821.41,12.9185,31.9295,38240,5201,22.81,ecological
Hispanic_vs_White,copd,COPD,housinsecu,Housing insecurity,hrsn,-1.0217,-11.2554,-11.5058,-10.9945,1101.68,10.4715,25.3416,38240,5201,22.81,ecological
Hispanic_vs_White,copd,COPD,shututility,Utility shutoff threat,hrsn,-1.0217,4.3209,4.2111,4.4453,-422.93,6.995,13.3884,38240,5201,22.81,ecological
Hispanic_vs_White,copd,COPD,lacktrpt,Transportation barriers,hrsn,-1.0217,-5.5401,-5.785,-5.2884,542.27,7.3207,15.2636,38240,5201,22.81,ecological
Hispanic_vs_White,copd,COPD,emotionspt,Lack of social support,hrsn,-1.0217,-0.235,-0.2893,-0.1804,23.01,22.1557,31.7518,38240,5201,22.81,ecological
Hispanic_vs_White,copd,COPD,pct_poverty,pct_poverty,demographic,-1.0217,0.18,0.1567,0.202,-17.62,10.689,19.1501,38240,5201,22.81,ecological
Hispanic_vs_White,copd,COPD,pct_college,pct_college,demographic,-1.0217,1.2881,1.2635,1.3115,-126.08,36.3351,16.2687,38240,5201,22.81,ecological
Hispanic_vs_White,copd,COPD,pct_65plus,pct_65plus,demographic,-1.0217,-0.3384,-0.357,-0.3212,33.12,19.0889,11.2889,38240,5201,22.81,ecological
Hispanic_vs_White,copd,COPD,median_age,median_age,demographic,-1.0217,-0.2494,-0.272,-0.2294,24.41,41.9359,33.7491,38240,5201,22.81,ecological
Hispanic_vs_White,stroke,Stroke,loneliness,Loneliness/Social isolation,hrsn,0.088,-0.1507,-0.1631,-0.1369,-171.24,32.3089,39.5593,38240,5201,310.34,ecological
Hispanic_vs_White,stroke,Stroke,foodstamp,Food stamps/SNAP,hrsn,0.088,0.9803,0.9397,1.0237,1113.61,10.5907,27.3053,38240,5201,310.34,ecological
Hispanic_vs_White,stroke,Stroke,foodinsecu,Food insecurity,hrsn,0.088,3.5053,3.4088,3.6207,3982.13,12.9185,31.9295,38240,5201,310.34,ecological
Hispanic_vs_White,stroke,Stroke,housinsecu,Housing insecurity,hrsn,0.088,-2.8323,-2.9336,-2.719,-3217.53,10.4715,25.3416,38240,5201,310.34,ecological
Hispanic_vs_White,stroke,Stroke,shututility,Utility shutoff threat,hrsn,0.088,0.8904,0.8473,0.9351,1011.52,6.995,13.3884,38240,5201,310.34,ecological
Hispanic_vs_White,stroke,Stroke,lacktrpt,Transportation barriers,hrsn,0.088,-2.1706,-2.2866,-2.0553,-2465.84,7.3207,15.2636,38240,5201,310.34,ecological
Hispanic_vs_White,stroke,Stroke,emotionspt,Lack of social support,hrsn,0.088,0.033,0.0103,0.0558,37.49,22.1557,31.7518,38240,5201,310.34,ecological
Hispanic_vs_White,stroke,Stroke,pct_poverty,pct_poverty,demographic,0.088,0.0591,0.0497,0.0684,67.12,10.689,19.1501,38240,5201,310.34,ecological
Hispanic_vs_White,stroke,Stroke,pct_college,pct_college,demographic,0.088,0.3827,0.3747,0.39,434.76,36.3351,16.2687,38240,5201,310.34,ecological
Hispanic_vs_White,stroke,Stroke,pct_65plus,pct_65plus,demographic,0.088,-0.3136,-0.3234,-0.3042,-356.25,19.0889,11.2889,38240,5201,310.34,ecological
Hispanic_vs_White,stroke,Stroke,median_age,median_age,demographic,0.088,-0.1104,-0.1198,-0.1012,-125.44,41.9359,33.7491,38240,5201,310.34,ecological
