tract_fips,state_abbr,county_name,total_population,predicted_gain,loneliness,foodstamp,foodinsecu,housinsecu,shututility,lacktrpt,emotionspt,rank
06001408800,CA,Alameda,7968.0,6186.266481022277,45.2,40.1,39.5,31.1,17.8,19.8,35.6,314
37081011400,NC,Guilford,5449.0,6183.39570412953,41.3,44.9,44.0,33.0,24.8,23.0,33.0,315
36061023600,NY,New York,9640.0,6182.305600726599,44.2,35.8,35.2,28.3,18.0,16.7,36.1,316
34007601200,NJ,Camden,6529.0,6181.821276025296,38.2,32.9,43.2,33.5,20.3,19.9,30.8,317
13245010300,GA,Richmond,4717.0,6174.8756396811095,41.1,49.6,47.5,35.6,27.8,24.2,32.9,318
36067004200,NY,Onondaga,2788.0,6171.638004033643,42.9,74.6,66.1,51.0,41.6,36.1,37.2,319
35005000600,NM,Chaves,4797.0,6169.52193196993,36.0,46.2,47.4,33.4,25.2,23.2,28.4,320
28075000402,MS,Lauderdale,3476.0,6164.446170599645,43.2,56.5,61.5,43.8,35.3,33.7,39.2,321
36061018400,NY,New York,7661.0,6161.646886551475,43.4,38.5,40.0,30.9,18.9,18.7,34.2,322
06071006203,CA,San Bernardino,5574.0,6161.578332498021,43.8,50.2,47.5,35.7,21.0,24.1,35.9,323
34031182302,NJ,Passaic,6485.0,6159.2256999989895,42.0,32.0,47.2,36.0,20.4,20.3,32.5,324
36005003900,NY,Bronx,6227.0,6144.601460025879,41.3,40.2,46.4,37.1,20.1,20.4,35.0,325
37067000801,NC,Forsyth,3130.0,6141.607111674479,51.0,66.8,63.1,42.1,35.2,40.8,33.4,326
27007940001,MN,Beltrami,5591.0,6141.1372497364155,36.6,37.0,44.7,30.0,22.0,26.5,32.4,327
22019001700,LA,Calcasieu,11689.0,6136.78085981965,39.4,27.9,30.8,21.5,16.3,15.4,31.3,328
