outcome,model,fold,cv_strategy,n_train,n_test,rmse,mae,r2_oos,r2_insample
chd,HRSN + Covariates,0,Random (10-fold),54115,6013,0.38247447070582846,0.2864307335757094,0.8520357646081109,0.8519611260621158
chd,HRSN + Covariates,1,Random (10-fold),54115,6013,0.3815232839531522,0.2871219363631266,0.8551619514296447,0.85160648950823
chd,HRSN + Covariates,2,Random (10-fold),54115,6013,0.3876292820227641,0.2905381556758516,0.8532335739434662,0.8518132827264434
chd,HRSN + Covariates,3,Random (10-fold),54115,6013,0.37546375939158994,0.2843612005635529,0.853958045695457,0.8517504368927103
chd,HRSN + Covariates,4,Random (10-fold),54115,6013,0.37686503995670845,0.28329597234693027,0.8581159943003778,0.85128381789065
chd,HRSN + Covariates,5,Random (10-fold),54115,6013,0.38050180448198595,0.2842738718348834,0.8528517550318149,0.8518633994499667
chd,HRSN + Covariates,6,Random (10-fold),54115,6013,0.3875386088012392,0.2909353808425355,0.8453824207162628,0.8526743843659512
chd,HRSN + Covariates,7,Random (10-fold),54115,6013,0.3858139596407941,0.29082329089062076,0.8504978909256358,0.8521215485265393
chd,HRSN + Covariates,8,Random (10-fold),54116,6012,0.38801924279371175,0.2901686231358128,0.849808676203111,0.8521935672084875
chd,HRSN + Covariates,9,Random (10-fold),54116,6012,0.4024643242623131,0.2899327929210433,0.8472607522627389,0.8525139282995409
